ID,LOC1,LOC2,LOC3,PREDICTED
A2M,plasma protein,nan,nan,extracellular
ABCC8,PM,nan,nan,membrane
ABCC9,PM,nan,nan,membrane
ABHD2,ER membrane,nan,nan,membrane
ACTN1,cytosol,nan,nan,cytoskeleton / cytosol
ACTN2,cytosol,nan,nan,cytoskeleton / cytosol
ACTN3,cytosol,nan,nan,extracellular / cytoskeleton / cytosol
ACTN4,cytosol,nan,nan,nucleus / cytosol
ADAM10,PM,Golgi apparatus ,nan,membrane / extracellular / nucleus / plasma
ADAMTS13,nan,enzyme,nan,extracellular / reticulum
ADCY1,PM-bound,nan,nan,membrane
ADCY10,cytosol,nan,nan,nucleus / cytosol
ADCY5,PM-bound,nan,nan,membrane
ADCY6,PM-bound,nan,nan,membrane
ADCY8,PM-bound,nan,nan,membrane
ADD1 ,PM,PM-bound,cytosol,NA
ADD2 ,PM,PM-bound,cytosol,NA
ADD3,PM,PM-bound,cytosol,membrane / cytoskeleton / cytosol
ADRA1A,nan,nan,nan,membrane / nucleus
ADRA1B,nan,nan,nan,membrane / nucleus
ADRA1D,nan,nan,nan,membrane
ADRA2A ,nan,nan,nan,NA
AGTR1 ,nan,nan,nan,NA
AHCYL1,cytosol,nan,nan,cytosol
AHCYL2,cytosol,nan,nan,cytosol
AIF1,cytosol,nan,nan,membrane / nucleus / cytosol
AIF1L,cytosol,nan,nan,cytoskeleton
AKAP11,cytosol,nan,nan,cytoskeleton / nucleus / cytosol
AKAP12,cytosol,nan,nan,membrane / cytosol
AKAP5,cytosol,nan,nan,membrane / endosome / cytosol
AKT1,Cytosol,PM-bound,nan,membrane / cytoskeleton / nucleus / cytosol
ALG2,EH hand,nan,nan,cytoskeleton / reticulum / cytosol
ALOX15,Plat Domain,enzyme,arachidonic acid,membrane / cytosol
ALOX15B,Plat Domain,enzyme,arachidonic acid,membrane / cytoskeleton / nucleus / cytosol
ALOX5,PLAT domain,enzyme,arachidonic acid,nucleus / cytosol
ALOX5AP,nan,nan,arachidonic acid,nucleus / reticulum
AMN,Endosome membrane,Membrane-bound,nan,membrane / extracellular
ANK2,PM-bound,nan,nan,membrane / cytosol
ANKEF1,Cytosol,PM-bound,nan,cytosol
ANO1,PM,nan,nan,membrane / nucleus
ANO10 ,PM,nan,nan,NA
ANO2,PM,nan,nan,membrane / nucleus
ANO3 ,PM,nan,nan,NA
ANO4 ,PM,nan,nan,NA
ANO5,PM,nan,nan,membrane
ANO6 ,PM,nan,nan,NA
ANO7 ,PM,nan,nan,NA
ANO8 ,ER membrane,nan,nan,NA
ANO9 ,PM,nan,nan,NA
ANXA1 ,PM-bound,nan,nan,NA
ANXA10,PM-bound,nan,nan,extracellular / nucleus / cytosol
ANXA11,PM-bound,nan,nan,extracellular / cytoskeleton / nucleus / cytosol / lysosome
ANXA13,PM-bound,nan,nan,membrane / nucleus
ANXA2,PM-bound,nan,nan,membrane / extracellular / nucleus / endosome / lysosome
ANXA3,PM-bound,nan,nan,membrane
ANXA4,PM-bound,nan,nan,membrane / nucleus
ANXA5,PM-bound,nan,nan,extracellular / cytosol
ANXA6,PM-bound,nan,nan,endosome / lysosome
ANXA7,PM-bound,nan,nan,nucleus / reticulum
ANXA8,PM-bound,nan,nan,membrane / endosome / cytosol
ANXA9,PM-bound,nan,nan,cytosol
APBA1,nan,nan,nan,cytosol
APBB1IP ,PM,nan,nan,NA
APC,PM-bound,cytosol,nan,membrane / cytoskeleton / nucleus / cytosol
APCS,nan,nan,nan,extracellular
APP,PM,early endosome,nan,membrane / extracellular / mitochondrion / nucleus / plasma / endosome / cytosol
APP,nan,nan,nan,membrane / extracellular / mitochondrion / nucleus / plasma / endosome / cytosol
ARF1,nan,nan,interacts with NCS-1,cytosol
ARF6,nan,nan,ORAI1 exocytosis,membrane / endosome / cytosol
ARPP21 ,cytosol,nan,nan,NA
ASIC1,PM,nan,nan,membrane
ASIC2,PM,nan,nan,membrane
ASIC3,PM,nan,nan,membrane
ASIC4,PM,nan,nan,membrane
ASPH,ER membrane,nan,nan,membrane / plasma
ASPH,nan,nan,nan,membrane / plasma
ASPM,cytosol,nucleus,nan,nucleus
ASTN2 ,endosome membrane,PM,nan,NA
ATAD3A,nan,nan,nan,mitochondrion
ATF1,Nucleus,nan,nan,nucleus
ATF2 ,Nucleus,nan,nan,NA
ATP13A2,nan,nan,nan,endosome / lysosome
ATP2A1,ER membrane,nan,nan,endoplasmic
ATP2A2,ER membrane,nan,nan,membrane / plasma
ATP2A3,ER membrane,nan,nan,endoplasmic
ATP2B1,PM,nan,nan,membrane / nucleus
ATP2B2,PM,nan,nan,membrane
ATP2B3,PM,nan,nan,membrane
ATP2B4,ER membrane,nan,nan,membrane
ATP2C1,Golgi membre,PM,nan,membrane / golgi
ATP2C2,Golgi membre,PM,nan,membrane / plasma
ATP5F1B,mitochondria inner membrane,nan,nan,membrane / mitochondrion
AVIL,cytosol,nan,nan,cytoskeleton
AVPR1A ,nan,nan,nan,NA
AVPR1B,nan,nan,nan,membrane
BAIAP3,nan,nan,nan,membrane / endosome / cytosol
BAK1,mitochondria outer membrane,ER membrane,nan,mitochondrion
BANK1,cytosol,nan,nan,cytosol
BAP1,cytosol,nucleus,nan,nucleus / cytosol
BASP1,PM-bound,cytosol,nan,membrane / nucleus
BAX,mitochondria outer membrane,ER membrane,nan,mitochondrion / nucleus / reticulum / cytosol
BCAP31,nan,MAM,nan,membrane / plasma
BCAP31 ,ER membrane,mitochondria-associated membranes,nan,NA
BCL2,cytosol,nan,nan,mitochondrion / nucleus / reticulum / cytosol
BCL2L1,cytosol,nan,nan,cytoskeleton / mitochondrion / nucleus / cytosol
BCL2L10,ER membrane,mitochondria-associated membranes,nan,mitochondrion / nucleus / reticulum / cytosol
BDKRB1,nan,nan,nan,membrane
BDKRB2,nan,nan,nan,membrane
BEST1,PM,ER membrane,nan,membrane
BEST2,PM,ER membrane,nan,membrane
BEST3,PM,ER membrane,nan,membrane
BEST4,PM,ER membrane,nan,membrane
BIN1,Channel localization,nan,nan,cytosol
BLNK ,cytosol,nan,nan,NA
BMP1,metalloprotease,nan,nan,extracellular
BOK,MAM,nan,nan,nucleus / reticulum
BOK ,ER membrane,nan,nan,NA
BRSK1 ,cytosol,nucleus,nan,NA
BTK,PM-bound,cytosol,nan,membrane / nucleus / cytosol
C2CD2L ,PM,ER membrane,nan,NA
C2CD5,PM,vesicles,nan,membrane / cytosol
C2CD5,C2 domain-containing protein,nan,nan,membrane / cytosol
C2CD6,nan,nan,nan,nucleus
C3AR1,nan,nan,nan,membrane
C4orf3,PM,nan,nan,NA
C5AR1,nan,nan,nan,membrane
C5AR2,nan,nan,nan,membrane
CAB39,cytosol,nan,nan,cytosol
CAB39L,nan,nan,nan,cytosol
CABIN1,cytosol,nan,nan,nucleus / cytosol
CABP1,PM,Golgi apparatus ,cytoskeleton,membrane
CABP2,PM,Golgi apparatus ,nan,membrane
CABP4,PM,Golgi apparatus ,nan,extracellular / cytosol
CABP5,cytosol,nan,nan,cytosol
CABP7,PM,Golgi apparatus ,nan,membrane
CABYR,cytosol,nucleus,cytoskeleton,nucleus
CACFD1,PM,vesicles,nan,membrane
CACHD1,nan,nan,nan,membrane
CACNA1A,PM,nan,nan,membrane / nucleus
CACNA1B,PM,nan,nan,membrane
CACNA1C,PM,nan,nan,membrane
CACNA1D,PM,nan,nan,membrane
CACNA1E,PM,nan,nan,membrane
CACNA1F,PM,nan,nan,membrane
CACNA1G,PM,nan,nan,membrane
CACNA1H,PM,nan,nan,membrane
CACNA1I,PM,nan,nan,membrane
CACNA1S,PM,nan,nan,membrane
CACNA2D1,PM-bound,nan,nan,membrane
CACNA2D2,PM-bound,nan,nan,membrane
CACNA2D3,PM-bound,nan,nan,membrane
CACNA2D4,PM-bound,nan,nan,membrane
CACNB1,PM-bound,nan,nan,membrane
CACNB2,PM-bound,nan,nan,membrane
CACNB3,PM-bound,nan,nan,membrane
CACNB4,PM-bound,nan,nan,membrane
CACNG1,PM-bound,nan,nan,membrane
CACNG2,PM-bound,nan,nan,membrane
CACNG3,PM-bound,nan,nan,membrane
CACNG4,PM-bound,nan,nan,membrane
CACNG5,PM-bound,nan,nan,membrane
CACNG6,PM-bound,nan,nan,membrane
CACNG7,PM-bound,nan,nan,membrane
CACNG8,PM-bound,nan,nan,membrane
CACYBP,nan,nan,nan,nucleus / cytosol
CADPS,vesicles,nan,nan,cytosol
CADPS2,vesicles,nan,nan,mitochondrion / cytosol
CALB1,cytosol,nucleus,nan,nucleus
CALB2,cytosol,nucleus,nan,cytosol
CALCOCO1,cytosol,nucleus,nan,nucleus / cytosol
CALCOCO2,autophagosome membrane,cytoskeleton,perinuclear region,nucleus / cytosol
CALCR,nan,nan,nan,membrane
CALD1,cytoskeleton,myofibril,nan,membrane / cytoskeleton / cytosol
CALHM1 ,PM,ER membrane,nan,NA
CALHM2,PM,nan,nan,membrane
CALHM3,PM,nan,nan,membrane
CALHM4,PM,nan,nan,membrane / extracellular
CALHM5,PM,nan,nan,membrane
CALHM6,PM,nan,nan,membrane
CALM1,cytosol,nan,nan,membrane / cytoskeleton
CALM2,cytosol,nan,nan,membrane / cytoskeleton
CALM3,cytosol,nan,nan,membrane / cytoskeleton
CALML3,nucleus,nan,nan,extracellular
CALML4,Golgi apparatus,nucleus,cytosol,nucleus / cytosol
CALML5,cytosol,nucleus,nan,extracellular / cytosol
CALML6,??,nan,nan,cytosol
CALN1,Golgi membre,PM,ER membrane,membrane
CALR,ER lumen,nan,nan,extracellular / nucleus / reticulum / cytosol
CALU,ER membrane,golgi apparatus ,nan,extracellular
CALY,nan,nan,nan,membrane
CAMK1,cytosol,nucleus,nan,cytosol
CAMK1D,cytosol,nucleus,nan,nucleus
CAMK1G,cytosol,nucleus,nan,membrane / cytosol
CAMK2A,cytosol,nucleus,nan,nucleus / cytosol
CAMK2B ,cytosol,nucleus,nan,NA
CAMK2D ,cytosol,nucleus,nan,NA
CAMK2G ,cytosol,nucleus,nan,NA
CAMK2N1,cytosol,nan,nan,nucleus
CAMK2N2,cytosol,nan,nan,nucleus / cytosol
CAMK4,cytosol,nucleus,nan,nucleus
CAMKK1,cytosol,nucleus,nan,nucleus / cytosol
CAMKK2,cytosol,nucleus,nan,nucleus / cytosol
CAMKMT,cytosol,nucleus,nan,nucleus
CAMKV,PM-bound,vesicles,nan,membrane / nucleus / cytosol
CAMLG,nan,nan,nan,endoplasmic
CAMSAP1,nan,nan,nan,nucleus
CAMSAP2,nan,nan,nan,cytosol
CAMSAP3,nan,nan,nan,cytoskeleton / nucleus
CAMTA1,nucleoplasm,nan,nan,nucleus / cytosol
CAMTA2,nucleoplasm,nan,nan,nucleus
CANT1,nan,nan,nan,membrane / extracellular / plasma
CANX,ER lumen,nan,nan,extracellular / reticulum
CAPG,nan,nan,nan,cytoskeleton / nucleus
CAPN1,cytosol,PM-bound,nan,membrane / cytosol
CAPN10,nan,nan,nan,cytosol
CAPN11,cytosol,acrosome,nan,cytosol
CAPN12,cytosol,nan,nan,nucleus
CAPN13,cytosol,nan,nan,nucleus
CAPN14,cytosol,nan,nan,cytosol
CAPN15,cytosol,PM-bound,nan,cytosol
CAPN2,cytosol,PM-bound,nan,membrane / cytosol
CAPN3,nucleoplasm,cytosol,nan,nucleus / cytosol
CAPN5,nucleoplasm,nan,nan,extracellular / cytosol
CAPN6,microtubule,nan,nan,cytoskeleton
CAPN7,nucleoplasm,nan,nan,nucleus / cytosol
CAPN8,cytosol,nan,nan,membrane / extracellular / cytoskeleton / mitochondrion / nucleus / golgi / cytosol / lysosome
CAPN9,cytosol,nan,nan,cytosol
CAPNS1,cytosol,nucleus,nan,cytosol
CAPNS2,cytosol,nucleus,nan,membrane / cytosol
CAPRIN2,nan,nan,nan,mitochondrion / nucleus / cytosol
CAPS,cytosol,nan,nan,membrane / nucleus
CAPS2,cytosol,nan,nan,cytoskeleton / nucleus
CAPSL ,cytosol,nan,nan,NA
CARF,nan,nan,nan,cytosol
CARHSP1,nan,nan,nan,nucleus
CASK,nan,nan,nan,nucleus / cytosol
CASP1,nan,nan,nan,cytosol
CASP3,nan,nan,nan,nucleus / cytosol
CASP9,nan,nan,nan,mitochondrion / cytosol
CASQ1,ER lumen,SR lumen,nan,endoplasmic
CASQ2,SR lumen,nan,nan,endoplasmic
CASR,PM,nan,nan,membrane
